Name,CABNumber,FileName,Label,LegislativeArea
B.I.E. International Limited,964,0036Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
"Bay Area Compliance Laboratories, Corp. (BACL)",1313,AB_1313_BACL_UK_EMC_Regs_NIST_Designation_Extended.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
"Bay Area Compliance Laboratories, Corp. (BACL)",1313,AB_1313_BACL_UK_Radio_Regs_NIST_Designation_Extended.pdf,Radio Equipment Regulations 2017,Radio equipment
BM Certification UK Ltd,8520,22963-Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
BRE Global Ltd,832,0007Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
BRE Global Ltd,832,0578Testing-Multiple.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
BRE Global Ltd,832,0007Product-Certification.pdf,Marine Equipment Regulations 2016,Marine equipment 
BRE Global Ltd,832,0007Product-Certification.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
BRE Global Ltd,832,4601Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
British Approvals Service for Cables (BASEC),2661,0004Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
British Approvals Service for Cables (BASEC),2661,5950Testing-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
British Board of AgrÃ©ment,836,0113Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
British Board of AgrÃ©ment,836,0357Testing-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
British Engineering Services Ltd,40,9230Management-Systems.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
British Engineering Services Ltd,40,9230Inspection-Body-Single.pdf,Lifts Regulations 2016,Lifts
British Engineering Services Ltd,40,9230Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
British Engineering Services Ltd,40,9230Inspection-Body-Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
British Engineering Services Ltd,40,9230Inspection-Body-Single.pdf,Simple Pressure Vessels (Safety) Regulations 2016,Simple pressure vessels
British Engineering Services Ltd,40,9230Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
British Institute of NDT,,0030Personnel-Certification.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
BSI Assurance UK Ltd,86,0090Inspection-Body-Single.pdf,Lifts regulations 2016,Lifts
BSI Assurance UK Ltd,86,0090Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Appliances Burning Gas Regulations EU 2016/426 (as retained in UK law and amended),Gas appliances and related
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Measuring Instruments Regulations 2016,Measuring instruments
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Marine Equipment Regulations 2016,Marine equipment 
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
BSI Assurance UK Ltd,86,0003Product-Certification.pdf,Ecodesign (Boiler Efficiency Regulations),Ecodesign
BSI Assurance UK Ltd,86,UK-Australia MRA.pdf,UK-Australia MRA,Medical devices
BSRIA LTD,480,1053Testing-Multiple.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
BSRIA LTD,480,1053Testing-Multiple.pdf,Ecodesign (Boiler Efficiency Regulations),Ecodesign
Bureau Veritas,8517,8517_-_MER_V001.pdf,Marine Equipment Regulations 2016,Marine equipment 
Bureau Veritas Consumer Products Services UK Ltd,8507,5111Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
"Bureau Veritas Consumer Products Services, Inc.",2200,AB_2200_BVCPS_UK_EMC_Designation.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
"Bureau Veritas Consumer Products Services, Inc.",2200,AB_2200_BVCPS_UK_Radio_Designation.pdf,Radio Equipment Regulations 2017,Radio equipment
Bureau Veritas UK Limited,41,0007Inspection-Body-Single.pdf,Lifts Regulations 2016,Lifts
Bureau Veritas UK Limited,41,0007Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
Bureau Veritas UK Limited,41,0432Inspection-Body-Multiple.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
Bury Metropolitan Borough Council,846,Measuring Instruments Regulations 2016.pdf,Measuring Instruments Regulations 2016,Measuring instruments
Bury Metropolitan Borough Council,846,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
Calibso Limited trading as Bluesky Certification,2731,9413Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Cambridge Fire Research Limited,2337,4319Testing-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
CATG Ltd,1245,0140Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
CCQS UK LTD,1105,6038Inspection-Body-Single.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
CCQS UK LTD,1105,6038Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
CCQS UK LTD,1105,6038Inspection-Body-Single.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into GB law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
CCQS UK LTD,1105,6038Inspection-Body-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
CEM International Ltd,1942,6537Inspection-Body-Single.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
CEM International Ltd,1942,6537Inspection-Body-Single.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
CEM International Ltd,1942,6537Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
CEM International Ltd,1942,6537Inspection-Body-Single.pdf,Radio Equipment Regulations 2017,Radio equipment
Centexbel International Ltd,8515,23509Product-Certification.pdf,Marine Equipment Regulations 2016,Marine equipment 
Centexbel International Ltd,8515,23509Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into GB law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
Centexbel International Ltd,8515,23509Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as amended to have effect in GB,Construction products
Centre for Assessment Limited,2551,0120Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Centrocot UK Ltd,8524,24575Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
Certdolomiti Ltd,8503,23149-Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
CerTrust Inspection and Certification Ltd,2806,22950-Product-Certification.pdf,The Pyrotechnic Articles (Safety) Regulations 2015,Pyrotechnics
CETECOM Inc.,8502,8502_RER_V001.pdf,The Radio Equipment Regulations 2017,Radio equipment
Cheshire West and Chester Council,138,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
"CKC Certification Services, LLC",976,AB_0976_CKC_UK_EMC_Regs_NIST_Designation.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
"CKC Certification Services, LLC",976,AB_0976_CKC_UK_Radio_Regs_NIST_Designation.pdf,Radio Equipment Regulations 2017,Radio equipment
Code A Weld Holdings Ltd,R006,0342Inspection%20Body%20Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
"Compatible Electronics, Inc.",1925,AB_1925_Compatible_UK_EMC_Regs_NIST_Designation.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
"Compatible Electronics, Inc.",1925,AB_1925_Compatible_UK_Radio_Regs_NIST_Designation.pdf,Radio Equipment Regulations 2017,Radio equipment
Control Union (UK) Ltd,8518,6639-Product-Certification.pdf,"The Construction Products Regulation 2011 (EU) No 305/2011 (a) as amended to have effect in GB, and (b) as amended to have effect in Northern Ireland",Construction products
Cranage EMC Testing Ltd,2583,5664Inspection%20Body%20Single.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
CSA Group Testing UK Ltd,518,0011Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
CSA Group Testing UK Ltd,518,0011Product-Certification.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
Cumbria County Council,350,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
dB Technology (Cambridge) Limited,,9412Testing-Single.pdf,"UK-USA MRA, Sectoral Annex on Electromagnetic compatibility - Test Firm",Electromagnetic compatibility
DBI Certification UK Ltd,8504,23333-Product-Certification.pdf,Gas Appliances Regulation (Regulation (EU) 2016/426 as brought into UK law and amended) and the Gas Appliances (Enforcement) and Miscellaneous Amendment Regulations 2018,Gas appliances and related
DBI Certification UK Ltd,8504,23333-Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in England and Wales and Scotland as retained EU law,Construction products
DBI Certification UK Ltd,8504,8504_-_MER_V001.pdf,Marine Equipment Regulations 2016,Marine equipment 
DEKRA Certification UK Ltd,8505,22815Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
Department for the Economy (Northern Ireland Trading Standards Service),326,Measuring Instruments Regulations 2016 - MI005.pdf,Measuring Instruments Regulations 2016 - MI005,Measuring instruments
Department for the Economy (Northern Ireland Trading Standards Service),326,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
DNV Business Assurance Ltd,8501,0013Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
DNV Business Assurance Ltd,8501,0013Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in England and Wales and Scotland as retained EU law,Construction products
DNV UK LIMITED,97,0203Inspection-Body-Multiple.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
DNV UK LIMITED,97,0097_-_MER_V001.pdf,Marine Equipment Regulations 2016,Marine equipment 
EETSA (East of England Trading Standards Authority),922,Measuring Instruments Regulations 2016 - MI005.pdf,Measuring Instruments Regulations 2016 - MI005,Measuring instruments
EETSA (East of England Trading Standards Authority),922,Measuring Instruments Regulations 2016 - MI006.pdf,Measuring Instruments Regulations 2016 - MI006,Measuring instruments
EETSA (East of England Trading Standards Authority),922,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
Efectis UK/Ireland Ltd,2822,10169Testing-Multiple.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Efectis UK/Ireland Ltd,2822,10169Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Electromagnetic Testing Services Limited,,4416Testing-Single.pdf,Sectoral Annex on Electromagnetic compatibility - Test Firm,Electromagnetic compatibility
Element Materials Technology Portland - Evergreen Inc.,981,AB_0981_Element_UK_EMC_Regs_NIST_Designation.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Element Materials Technology Portland - Evergreen Inc.,981,AB_0981_Element_UK_Radio_Regs_NIST_Designation.pdf,Radio Equipment Regulations 2017,Radio equipment
Element Materials Technology trading as Element,1104,0621Testing-Multiple.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Element Materials Technology Warwick Ltd,891,0178Product-Certification.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Element Materials Technology Warwick Ltd,891,0178Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
Element Materials Technology Warwick Ltd,891,0178Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
Element Materials Technology Washington DC LLC,982,0982_EMC_V002.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Element Materials Technology Washington DC LLC,982,0982_RER_V002.pdf,Radio Equipment Regulations 2017,Radio equipment
"Elite Electronic Engineering, Inc.",978,AB_0978_Elite_UK_EMC_Regs_NIST_Designation.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
"Elite Electronic Engineering, Inc.",978,AB_0978_Elite_UK_Radio_NIST_Designation.pdf,Radio Equipment Regulations 2017,Radio equipment
EMC Technologies Pty Ltd,819,UK-Designation_EMC_Technologies_Pty_Ltd_AB0819.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Enphase Energy NZ Ltd trading as ENtest laboratory,2830,Body approved under the UK-New Zealand MRA - Electromagnetic Compatibility Regulations 2016.pdf,Body approved under the UK-New Zealand MRA - Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
ER Certification Ltd,8511,4585Product-Certification.pdf,"The Construction Products Regulation 2011 (EU) No 305/2011 (a) as amended to have effect in GB, and (b) as amended to have effect in Northern Ireland",Construction products
Eurofins E&E CML Limited,2503,8175Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
Eurofins E&E CML Limited,2503,8175Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
Eurofins E&E CML Limited,2503,8175Product-Certification.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
Eurofins E&E CML Limited,2503,8175Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
"Eurofins Electrical & Electronic Testing NA, Inc.",980,AB_0980_Eurofins_Electrical_UK_Radio_Des_Name_Change.pdf,AB 0980 Radio Equipment Regulations 2017,Radio equipment
Eurofins Hursley Limited,2635,5674Inspection%20Body%20Single.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Eurofins Hursley Limited,2635,UK-Australia MRA -Sectoral annex on electromagnetic compatibility.pdf,UK-Australia MRA -Sectoral annex on electromagnetic compatibility,Electromagnetic compatibility
Eurofins Hursley Limited,2635,UK-Canada MRA Sectoral Annex on Electromagnetic compatibility.pdf,UK-Canada MRA Sectoral Annex on Electromagnetic compatibility,Electromagnetic compatibility
Eurofins Hursley Limited,2635,UK-USA MRA Sectoral Annex on Electromagnetic compatibility.pdf,UK-USA MRA Sectoral Annex on Electromagnetic compatibility,Electromagnetic compatibility
Eurofins MTS Consumer Product Testing UK Limited,2377,5506Inspection%20Body%20Single.pdf,Toys (Safety) Regulations 2011,Toys
Eurofins Product Testing Services Ltd,355,6952%20Inspection%20Body%20Single.pdf,Toys (Safety) Regulations 2011,Toys
Eurofins York Ltd,2636,5562Inspection%20Body%20Single.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Eurofins York Ltd,2636,UK-Australia MRA -Sectoral annex on electromagnetic compatibility.pdf,UK-Australia MRA -Sectoral annex on electromagnetic compatibility,Electromagnetic compatibility
Eurofins York Ltd,2636,UK-USA MRA Sectoral Annex on Electromagnetic compatibility.pdf,UK-USA MRA Sectoral Annex on Electromagnetic compatibility,Electromagnetic compatibility
Ex Veritas Limited,2585,8613Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
"Fleetwood Test House, Blackpool And The Fylde College",514,5554-Product-Certification.pdf,Marine Equipment Regulations 2016,Marine equipment 
"Fleetwood Test House, Blackpool And The Fylde College",514,5554-Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into GB law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
FM Approvals Ltd.,1725,0259Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
FM Approvals Ltd.,1725,0259Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
Gammax Independent Inspection Services Ltd,,9241Inspection%20Body%20Single.pdf,The Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
Gateshead MBC (Tyne and Wear Trading Standards),520,Measuring Instruments Regulations 2016.pdf,Measuring Instruments Regulations 2016,Measuring instruments
Gateshead MBC (Tyne and Wear Trading Standards),520,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
GCL International LTD T/A Globalgroup,858,5965Inspection%20Body%20Single.pdf,Lift Regulations 2016,Lifts
Hartford Steam Boiler UK Limited,2561,8452Inspection-Body-Single.pdf,Transportable Pressure Equipment Regulations 2009,Transportable pressure equipment
Hartford Steam Boiler UK Limited,2561,8452Inspection-Body-Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
Hartford Steam Boiler UK Limited,2561,8452Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
"Health and Safety Executive, Science and Research Centre (UK Explosives Approved Body)",519,7645Product-Certification.pdf,The Explosives Regulations 2014,Explosives
HORIBA MIRA Certification Limited,888,9998Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
HORIBA MIRA Certification Limited,888,9998Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
HORIBA MIRA Certification Limited,888,9998Product-Certification.pdf,Noise Emission in the Environment by Equipment for use Outdoors Regulations 2001,Noise emissions in the environment by equipment for use outdoors 
HORIBA MIRA Certification Limited,888,9998Product-Certification.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
HPi Verification Services Ltd,1521,0328Inspection-Body-Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
HPi Verification Services Ltd,1521,0328Inspection-Body-Single.pdf,Recreational Craft Regulations 2017,Recreational craft
HPi Verification Services Ltd,1521,0328Inspection-Body-Single.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
IBExU UK Ltd,8522,24265Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
IFC Certification Ltd,1720,0175Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Impact Laboratories Limited Trading as Impact Solutions,1719,0402Testing-Single-1.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
InCon (Inspection Consultants Ltd),,9127Inspection-Body.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
INSPEC International Ltd.,194,0027Product-Certification.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
Inspection Services a Division of Phillips66 Ltd,,0063Inspection%20Body%20Single.pdf,Pressure Equipment (Safety) Regulations 2016,Pressure equipment 
Institut National de lâ€™Environnement Industriel et des Risques,80,23472-Product-Certification.pdf,The Pyrotechnic Articles (Safety) Regulations 2015,Pyrotechnics 
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Noise Emission in the Environment by Equipment for use Outdoors Regulations 2001,Noise emissions in the environment by equipment for use outdoors 
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Supply of Machinery (Safety) Regulations 2008,Machinery
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Gas Appliances Regulation (Regulation (EU) 2016/426 as brought into UK law and amended) and the Gas Appliances (Enforcement) and Miscellaneous Amendment Regulations 2018,Gas appliances and related 
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Electromagnetic Compatibility Regulations 2016,Electromagnetic compatibility
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Radio Equipment Regulations 2017,Radio equipment
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Equipment and Protective Systems Intended for use in Potentially Explosive Atmospheres Regulations 2016,Equipment and protective systems for use in potentially explosive atmospheres
Intertek Testing & Certification LTD,359,0010Product-Certification.pdf,Ecodesign (Boiler Efficiency Regulations),Ecodesign
Intertek Testing & Certification LTD,359,UK-Australia MRA on Machinery Low Voltage Equipment.pdf,UK-Australia MRA on Machinery Low Voltage Equipment,Machinery
ITS Testing Services (UK) Ltd,362,5320Inspection-Body-Single.pdf,Toys (Safety) Regulations 2011,Toys
ITS Testing Services (UK) Ltd,362,5320Inspection-Body-Single.pdf,Personal Protective Equipment Regulations (Regulation (EU) 2016/425 as brought into UK law and amended) and the Personal Protective Equipment (Enforcement) Regulations 2018,Personal protective equipment
Kiwa Limited trading as Kiwa Energy,558,0217Product-Certification.pdf,Gas Appliances Regulation (Regulation (EU) 2016/426 as brought into UK law and amended) and the Gas Appliances (Enforcement) and Miscellaneous Amendment Regulations 2018,Gas appliances and related 
Kiwa Limited trading as Kiwa Energy,558,0217Product-Certification.pdf,The Construction Products Regulation 2011 (EU) No 305/2011 as it has effect in the UK as retained EU law and by virtue of the Northern Ireland Protocol,Construction products
Kiwa Limited trading as Kiwa Energy,558,0217Product-Certification.pdf,Ecodesign (Boiler Efficiency Regulations),Ecodesign
Kiwa Limited trading as Kiwa Energy,558,0217Product-Certification.pdf,The Radio Equipment Regulations 2017,Radio equipment
Kiwa Limited trading as Kiwa Energy,558,0558_-_MER_V001.pdf,Marine Equipment Regulations 2016,Marine equipment
Labtest Certification Inc.,2815,Notification_-_LabTest_Certification_Inc.__R.E._.pdf,Radio Equipment Regulations 2017 (SI 2017/1206),Radio equipment
Labtest Certification Inc.,2815,Notification__-_LabTest_Certification_Inc.__EMC_.pdf,Electromagnetic Compatibility Regulations (SI 2016/1091),Electromagnetic compatibility
Lancashire County Council,173,Measuring Instruments Regulations 2016.pdf,Measuring Instruments Regulations 2016,Measuring instruments
Lancashire County Council,173,Non-automatic Weighing Instruments Regulations 2016.pdf,Non-automatic Weighing Instruments Regulations 2016,Non-automatic weighing instruments
